Paragon eSports,Belarus,Europe
Team Singularity,,Europe
NoPangolier,,Europe
DUOBAO,China,Asia
Learn2Gank,Mexico,North America
RedBear,Malaysia,Asia
Underminer,Malaysia,Asia
iG Vitality,China,Asia
Planet Odd,USA,North America
FCDB Esports,Belarus,Europe
HyperGloryTeam,China,Asia
Vultur,Argentina,South America
Volta7,Ecuador,South America
ALPHA Red,Thailand,Asia
Thunder Awaken,Peru,South America
mousesports,Greece,Europe
Team HighGround,Malaysia,Asia
ALTERNATE aTTaX,Poland,Europe
Dark Passage,Turkey,Asia
PG.Barracx,Indonesia,Asia
Tangerine,Malaysia,Asia
Virtus.pro Polar,Russia,Europe
Effect,Russia,Europe
G.star,China,Asia
Team Empire,Russia,Europe
Espada,Russia,Europe
Slice N' Dice,Egypt,Africa
Ukraine,Ukraine,Europe
ferzee,Russia,Europe
Summer's Rift,USA,North America
Escape Gaming,,Europe
Big God,China,Asia
Kabal Gaming,Turkmenistan,Asia
LV Gaming,China,Asia
EHOME.X,China,Asia
Que La Famille,France,Europe
TongFu.WanZhou,China,Asia
Vici Gaming,China,Asia
Mineski.Sports5,Philippines,Asia
ZOKEN GAMING,Russia,Europe
The Final Tribe,Sweden,Europe
Eximious Esports,Pakistan,Asia
DUOBAO Young,China,Asia
Seventh Heaven,Australia,Australia
Team Kinguin,Poland,Europe
PENTA Sports,Europe
The Mongolz,Mongolia,Asia
Signature.Trust,Thailand,Asia
iDeal eSports,Thailand,Asia
Arcade.PowerRangers,Belarus,Europe
London Conspiracy,Denmark,Europe
(monkey) Business,,Europe
Sacred,Peru,South America
Game-Life Balance,Czech Republic,Europe
Team One Ecuador,Ecuador,South America
OG,,Europe
MVP Revolution,Kyrgyzstan,Asia
90s Gaming,Malaysia,Asia
EHOME,China,Asia
Team DK,China,Asia
Aboshamalah,Jordan,Asia
To.be.or.not.to.be,China,Asia
Danish Dynamite,Denmark,Europe
Dad is Proud,Algeria,Africa
Thunderobot Gaming,China,Asia
Ice,,Europe
Azure esports,Hong Kong,Asia
People,Russia,Europe
Horde,Sweden,Europe
ZERO ONE,Kazakhstan,Asia
BOOM ID,Singapore,Asia
WarriorsGaming.Unity,Malaysia,Asia
Ignore Ochir,Russia,Europe
Play 4 Fun,Canada,North America
Flipsid3 Tactics,Russia,Europe
Energy Pacemaker,China,Asia
mYinsanity,,Europe
Immortal Magneto,China,Asia
Team Anime,Lebanon,Asia
Speed Gaming.cn,China,Asia
Aggressive 5,India,Asia
s1 Lykos,Philippines,Asia
Ninjas in Pyjamas,Sweden,Europe
LGD.Forever Young,China,Asia
Monsters Have Hearts,Algeria,Africa
PUB PLAYERS,Turkey,Asia
Team Tinker,,Europe
